Date,Price
04-12-2022,3.89
05-12-2022,3.89
06-12-2022,3.89
07-12-2022,3.89
08-12-2022,3.89
09-12-2022,3.89
10-12-2022,3.89
11-12-2022,3.89
12-12-2022,3.89
13-12-2022,2.49
14-12-2022,2.49
15-12-2022,2.49
16-12-2022,2.49
17-12-2022,2.49
18-12-2022,2.49
19-12-2022,2.49
20-12-2022,2.49
21-12-2022,2.49
22-12-2022,2.49
23-12-2022,2.49
24-12-2022,2.49
25-12-2022,2.49
26-12-2022,2.49
27-12-2022,3.89
28-12-2022,3.89
29-12-2022,3.89
30-12-2022,3.89
31-12-2022,3.89
01-01-2023,3.89
02-01-2023,3.89
03-01-2023,3.89
04-01-2023,3.89
05-01-2023,3.89
06-01-2023,3.89
07-01-2023,3.89
