Date,Price
04-12-2022,42.5
05-12-2022,42.5
06-12-2022,42.5
07-12-2022,42.5
08-12-2022,42.5
09-12-2022,40.0
10-12-2022,42.5
11-12-2022,42.5
12-12-2022,42.5
13-12-2022,42.5
14-12-2022,42.5
15-12-2022,42.5
16-12-2022,42.5
17-12-2022,40.0
18-12-2022,40.0
19-12-2022,40.0
20-12-2022,40.0
21-12-2022,42.5
22-12-2022,42.5
23-12-2022,42.5
24-12-2022,42.5
25-12-2022,42.5
26-12-2022,42.5
27-12-2022,42.5
28-12-2022,42.5
29-12-2022,42.5
30-12-2022,42.5
31-12-2022,42.5
01-01-2023,42.5
02-01-2023,40.0
03-01-2023,42.5
