Date,Price
04-12-2022,55.9
05-12-2022,55.9
06-12-2022,55.9
07-12-2022,55.9
08-12-2022,55.9
09-12-2022,55.9
10-12-2022,55.9
11-12-2022,55.9
12-12-2022,55.9
13-12-2022,53.9
14-12-2022,53.9
15-12-2022,53.9
16-12-2022,53.9
17-12-2022,53.9
18-12-2022,53.9
19-12-2022,53.9
20-12-2022,53.9
21-12-2022,53.9
22-12-2022,53.9
23-12-2022,53.9
24-12-2022,53.9
25-12-2022,53.9
26-12-2022,53.9
27-12-2022,53.9
28-12-2022,53.9
29-12-2022,53.9
30-12-2022,53.9
31-12-2022,53.9
01-01-2023,53.9
02-01-2023,53.9
03-01-2023,53.9
04-01-2023,53.9
05-01-2023,53.9
